Update: 161, Reward_mean: -0.25770848020874204, Loss: [0.04679699242115021]
Update: 162, Reward_mean: -0.4082720162808932, Loss: [-0.00030880793929100037]
Update: 163, Reward_mean: -0.41902083300855336, Loss: [-0.03909142315387726]
Update: 164, Reward_mean: -0.14997653254611082, Loss: [-0.001867450773715973]
Update: 165, Reward_mean: -0.2657821365268344, Loss: [0.01990766078233719]
Update: 166, Reward_mean: -0.3020625367343769, Loss: [0.010033121332526207]
Update: 167, Reward_mean: -0.2212201216723671, Loss: [0.10062479972839355]
Update: 168, Reward_mean: -0.13779612766138824, Loss: [-0.010189414024353027]
Update: 169, Reward_mean: -0.28011187240177193, Loss: [-0.03895121440291405]
Update: 170, Reward_mean: -0.2442898091032848, Loss: [0.08630476146936417]
Update: 171, Reward_mean: -0.2306638129128747, Loss: [0.06694241613149643]
Update: 172, Reward_mean: -0.4172901765059478, Loss: [-0.034842122346162796]
Update: 173, Reward_mean: -0.18848923622735417, Loss: [-0.007264500483870506]
Update: 174, Reward_mean: -0.2789671501721298, Loss: [0.09396031498908997]
Update: 175, Reward_mean: -0.1634327847189323, Loss: [0.06647126376628876]
Update: 176, Reward_mean: -0.416605225139449, Loss: [-0.02734748274087906]
Update: 177, Reward_mean: -0.3358354777974046, Loss: [0.03948643431067467]
Update: 178, Reward_mean: -0.2506629522082838, Loss: [0.1663529872894287]
Update: 179, Reward_mean: -0.1265269220502087, Loss: [0.08462619036436081]
Update: 180, Reward_mean: -0.09897840702972042, Loss: [0.07791754603385925]
Update: 181, Reward_mean: -0.22214665979191917, Loss: [-0.06078550964593887]
Update: 182, Reward_mean: -0.23537595553605525, Loss: [0.02797716297209263]
Update: 183, Reward_mean: -0.19689839030056722, Loss: [0.018899651244282722]
Update: 184, Reward_mean: -0.10805434557368623, Loss: [0.050388153642416]
Update: 185, Reward_mean: -0.3201082428873205, Loss: [-0.016448240727186203]
Update: 186, Reward_mean: -0.04583212190117975, Loss: [0.030371133238077164]
Update: 187, Reward_mean: -0.31286596247244525, Loss: [-0.005489422008395195]
Update: 188, Reward_mean: -0.054657968518327514, Loss: [0.09785595536231995]
Update: 189, Reward_mean: -0.14319349800330936, Loss: [0.028105001896619797]
Update: 190, Reward_mean: -0.3420415286342936, Loss: [-0.02533632516860962]
Update: 191, Reward_mean: -0.13912460257247164, Loss: [0.055335890501737595]
Update: 192, Reward_mean: -0.20927386711643367, Loss: [0.023133620619773865]
Update: 193, Reward_mean: -0.2403812853253106, Loss: [0.044370900839567184]
Update: 194, Reward_mean: -0.11151463934565112, Loss: [0.08534523844718933]
Update: 195, Reward_mean: -0.24934877992022375, Loss: [-0.04443305730819702]
